idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist,iteration
13_2_3,true_net,stoch,3.5,5.15123,4.9341297,5.14821,0.00302,0.01581,0.016099999,0.0031299999,0.00303,0.00055,5.1201916,5.182295,1.0,1.0,0.27045628,13_2
13_2_3,obs_net,dynamic,3.5,1.36614,0.71323997,4.38757,-3.02143,0.49642998,3.06194,0.69786996,3.02143,0.73906,0.406009,2.3569014,0.0,0.007999999,6.6584983,13_2
13_2_3,obs_net,stoch,3.5,1.62559,1.6215099,5.14821,-3.52262,0.56385,3.5674598,0.69295,3.52262,0.67467,0.5345318,2.7499783,0.0,0.0,6.6584983,13_2
13_2_3,MWG,dynamic,3.5,3.98592,3.6662798,4.38757,-0.40164998,0.18332,0.44151,0.10063,0.75311,0.19556,3.624248,4.3267717,0.0,0.944,2.1152,13_2
13_2_3,MWG,stoch,3.5,4.71207,4.52669,5.14821,-0.43614,0.2181,0.48762998,0.09472,0.50373,0.09442,4.2993584,5.1381297,0.0,0.79399997,2.1152,13_2
13_2_3,MWG_rep,dynamic,3.5,3.73192,3.50646,4.38757,-0.65564996,0.15815,0.67445,0.15371999,0.83555996,0.20675999,3.4502144,4.019248,0.0,0.964,2.28253,13_2
13_2_3,MWG_rep,stoch,3.5,4.4156,4.22436,5.14821,-0.73262,0.15345,0.74851,0.14538999,0.75307,0.14081,4.1521215,4.687408,0.0,0.478,2.28253,13_2
13_2_4,true_net,dynamic,4.0,4.3903,3.8902,4.38757,0.0027299998,0.01354,0.013809999,0.00315,0.00628,0.0016399999,4.3641715,4.4169188,1.0,1.0,0.27040762,13_2
13_2_4,true_net,stoch,4.0,5.1512,4.93419,5.14821,0.00299,0.01581,0.01609,0.0031299999,0.003,0.00054,5.1206856,5.1822934,1.0,1.0,0.27040762,13_2
13_2_4,obs_net,dynamic,4.0,1.2693499,0.70436,4.38757,-3.1182098,0.62641996,3.1805098,0.72489,3.1182098,0.76629996,0.04491128,2.5120683,0.0,0.022,6.8344593,13_2
13_2_4,obs_net,stoch,4.0,1.51913,1.52415,5.14821,-3.6290798,0.71968997,3.69975,0.71865,3.6290798,0.69597,0.11318818,2.9446995,0.0,0.0,6.8344593,13_2
