,idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand,TRUE,model,type,abs_bias,ci_length
57,176.0,2.1780002,2.177,2.6810002,-0.503,0.11800001,0.517,0.75900006,0.503,0.60800004,0.18800001,0.21400002,0.037,0.063,1.95,2.413,0.0,0.58400005,Linear_3S,stoch,,Linear,3S,0.503,0.46299999999999986
58,176.0,0.47300002,0.47300002,0.596,-0.123,0.033,0.127,0.349,0.123,0.24400002,0.20600002,1894.5671,0.046000004,54401692.0,0.409,0.54,0.0,0.896,GP_3S,dynamic,,GP,3S,0.123,0.13100000000000006
59,176.0,2.065,2.0640001,2.6810002,-0.61600006,0.12900001,0.63000005,0.929,0.61600006,0.72900003,0.23,0.25800002,0.055000003,0.09200001,1.8140001,2.3200002,0.0,0.79200006,GP_3S,stoch,,GP,3S,0.61600006,0.5060001000000001
60,176.0,0.633,0.633,0.596,0.037,0.024,0.044000003,0.22000001,0.038000003,0.179,0.064,3726.8472,0.006,98990104.0,0.586,0.68200004,1.0,0.18400002,Linear_1S,dynamic,,Linear,1S,0.037,0.09600004000000006
61,176.0,0.634,0.633,0.596,0.038000003,0.034,0.051000003,0.29200003,0.042000003,0.215,0.07,4104.459,0.007,125536024.0,0.568,0.70100003,1.0,0.526,GP_1S,dynamic,,GP,1S,0.038000003,0.13300003000000005
62,176.0,2.8690002,2.868,2.6810002,0.18800001,0.113000005,0.21900001,0.47000003,0.192,0.37800002,0.071,0.15900001,0.007,0.045,2.6460001,3.0930002,1.0,0.36600003,Linear_1S,stoch,,Linear,1S,0.18800001,0.4470000999999999
63,176.0,2.7900002,2.7930002,2.6810002,0.109000005,0.15900001,0.192,0.65500003,0.156,0.45900002,0.058000002,0.18200001,0.0050000004,0.060000002,2.473,3.0970001,1.0,0.634,GP_1S,stoch,,GP,1S,0.109000005,0.6240001
64,231.0,0.59800005,0.59900004,0.58100003,0.017,0.015000001,0.023000002,0.039,0.019000001,0.022000002,0.033,0.041,0.002,0.003,0.569,0.628,1.0,1.0,Linear_oracle,dynamic,,Linear,Oracle,0.017,0.05900000000000005
65,231.0,0.588,0.588,0.58100003,0.007,0.016,0.018000001,0.124000005,0.014,0.060000002,0.024,0.11400001,0.001,0.031000001,0.55700004,0.62,1.0,1.0,GP_oracle,dynamic,,GP,Oracle,0.007,0.06299995999999997
66,231.0,2.7470002,2.7470002,2.6660001,0.081,0.072000004,0.108,0.11800001,0.09,0.091000006,0.034,0.033,0.002,0.002,2.6060002,2.8860002,1.0,1.0,Linear_oracle,stoch,,Linear,Oracle,0.081,0.2799999999999998
67,231.0,2.6390002,2.6390002,2.6660001,-0.027,0.07700001,0.081,0.36400002,0.065000005,0.156,0.024,0.052,0.001,0.007,2.489,2.7870002,1.0,0.998,GP_oracle,stoch,,GP,Oracle,0.027,0.29800020000000016
